token1,token2,token3,token4,token5,target
100,12,67,1490,18,47
12,67,1490,18,47,594
67,1490,18,47,594,57
1490,18,47,594,57,171
18,47,594,57,171,8
47,594,57,171,8,72
594,57,171,8,72,88
57,171,8,72,88,1491
171,8,72,88,1491,52
8,72,88,1491,52,595
72,88,1491,52,595,1492
88,1491,52,595,1492,1002
1491,52,595,1492,1002,15
52,595,1492,1002,15,1
595,1492,1002,15,1,1003
1492,1002,15,1,1003,1
1002,15,1,1003,1,89
15,1,1003,1,89,14
1,1003,1,89,14,2
1003,1,89,14,2,240
1,89,14,2,240,309
89,14,2,240,309,279
14,2,240,309,279,22
2,240,309,279,22,5
240,309,279,22,5,12
309,279,22,5,12,74
279,22,5,12,74,747
22,5,12,74,747,35
5,12,74,747,35,7
12,74,747,35,7,58
74,747,35,7,58,1493
747,35,7,58,1493,135
35,7,58,1493,135,1494
7,58,1493,135,1494,1
58,1493,135,1494,1,89
1493,135,1494,1,89,14
135,1494,1,89,14,259
1494,1,89,14,259,26
1,89,14,259,26,211
89,14,259,26,211,23
14,259,26,211,23,26
259,26,211,23,26,517
26,211,23,26,517,14
211,23,26,517,14,2
23,26,517,14,2,1004
26,517,14,2,1004,5
517,14,2,1004,5,74
14,2,1004,5,74,748
2,1004,5,74,748,749
1004,5,74,748,749,7
5,74,748,749,7,16
74,748,749,7,16,1005
748,749,7,16,1005,114
749,7,16,1005,114,1495
7,16,1005,114,1495,11
16,1005,114,1495,11,26
1005,114,1495,11,26,44
114,1495,11,26,44,153
1495,11,26,44,153,26
11,26,44,153,26,45
26,44,153,26,45,750
44,153,26,45,750,11
153,26,45,750,11,55
26,45,750,11,55,382
45,750,11,55,382,197
750,11,55,382,197,34
11,55,382,197,34,56
55,382,197,34,56,1
382,197,34,56,1,281
197,34,56,1,281,90
34,56,1,281,90,85
56,1,281,90,85,7
1,281,90,85,7,90
281,90,85,7,90,1006
90,85,7,90,1006,282
85,7,90,1006,282,23
7,90,1006,282,23,26
90,1006,282,23,26,212
1006,282,23,26,212,751
282,23,26,212,751,30
23,26,212,751,30,518
26,212,751,30,518,198
212,751,30,518,198,12
751,30,518,198,12,383
30,518,198,12,383,90
518,198,12,383,90,49
198,12,383,90,49,1007
12,383,90,49,1007,47
383,90,49,1007,47,44
90,49,1007,47,44,41
49,1007,47,44,41,2
1007,47,44,41,2,282
47,44,41,2,282,181
44,41,2,282,181,72
41,2,282,181,72,282
2,282,181,72,282,5
282,181,72,282,5,72
181,72,282,5,72,182
72,282,5,72,182,30
282,5,72,182,30,260
5,72,182,30,260,1496
72,182,30,260,1496,42
182,30,260,1496,42,18
30,260,1496,42,18,1497
260,1496,42,18,1497,18
1496,42,18,1497,18,11
42,18,1497,18,11,7
18,1497,18,11,7,752
1497,18,11,7,752,6
18,11,7,752,6,32
11,7,752,6,32,1
7,752,6,32,1,89
752,6,32,1,89,1008
6,32,1,89,1008,6
32,1,89,1008,6,153
1,89,1008,6,153,51
89,1008,6,153,51,1
1008,6,153,51,1,1003
6,153,51,1,1003,114
153,51,1,1003,114,112
51,1,1003,114,112,55
1,1003,114,112,55,1
1003,114,112,55,1,281
114,112,55,1,281,384
112,55,1,281,384,12
55,1,281,384,12,1
1,281,384,12,1,146
281,384,12,1,146,1
384,12,1,146,1,89
12,1,146,1,89,158
1,146,1,89,158,16
146,1,89,158,16,1
1,89,158,16,1,281
89,158,16,1,281,14
158,16,1,281,14,2
16,1,281,14,2,240
1,281,14,2,240,309
281,14,2,240,309,159
14,2,240,309,159,23
2,240,309,159,23,26
240,309,159,23,26,14
309,159,23,26,14,77
159,23,26,14,77,91
23,26,14,77,91,241
26,14,77,91,241,21
14,77,91,241,21,37
77,91,241,21,37,135
91,241,21,37,135,7
241,21,37,135,7,242
21,37,135,7,242,182
37,135,7,242,182,444
135,7,242,182,444,30
7,242,182,444,30,1498
242,182,444,30,1498,1
182,444,30,1498,1,281
444,30,1498,1,281,283
30,1498,1,281,283,26
1498,1,281,283,26,44
1,281,283,26,44,213
281,283,26,44,213,22
283,26,44,213,22,1499
26,44,213,22,1499,25
44,213,22,1499,25,2
213,22,1499,25,2,1009
22,1499,25,2,1009,46
1499,25,2,1009,46,16
25,2,1009,46,16,65
2,1009,46,16,65,71
1009,46,16,65,71,5
46,16,65,71,5,90
16,65,71,5,90,49
65,71,5,90,49,753
71,5,90,49,753,31
5,90,49,753,31,15
90,49,753,31,15,1
49,753,31,15,1,1500
753,31,15,1,1500,596
31,15,1,1500,596,1010
15,1,1500,596,1010,385
1,1500,596,1010,385,754
1500,596,1010,385,754,1501
596,1010,385,754,1501,35
1010,385,754,1501,35,7
385,754,1501,35,7,260
754,1501,35,7,260,56
1501,35,7,260,56,1
35,7,260,56,1,1502
7,260,56,1,1502,597
260,56,1,1502,597,226
56,1,1502,597,226,6
1,1502,597,226,6,1503
1502,597,226,6,1503,16
597,226,6,1503,16,258
226,6,1503,16,258,5
6,1503,16,258,5,591
1503,16,258,5,591,115
16,258,5,591,115,114
258,5,591,115,114,598
5,591,115,114,598,32
591,115,114,598,32,1011
115,114,598,32,1011,28
114,598,32,1011,28,52
598,32,1011,28,52,1
32,1011,28,52,1,755
1011,28,52,1,755,71
28,52,1,755,71,49
52,1,755,71,49,1012
1,755,71,49,1012,18
755,71,49,1012,18,3
71,49,1012,18,3,599
49,1012,18,3,599,34
1012,18,3,599,34,9
18,3,599,34,9,339
3,599,34,9,339,1013
599,34,9,339,1013,1504
34,9,339,1013,1504,30
9,339,1013,1504,30,261
339,1013,1504,30,261,5
1013,1504,30,261,5,90
1504,30,261,5,90,49
30,261,5,90,49,1505
261,5,90,49,1505,283
5,90,49,1505,283,1506
90,49,1505,283,1506,18
49,1505,283,1506,18,47
1505,283,1506,18,47,1507
283,1506,18,47,1507,2
1506,18,47,1507,2,1014
18,47,1507,2,1014,22
47,1507,2,1014,22,43
1507,2,1014,22,43,9
2,1014,22,43,9,310
1014,22,43,9,310,1015
22,43,9,310,1015,1016
43,9,310,1015,1016,8
9,310,1015,1016,8,36
310,1015,1016,8,36,445
1015,1016,8,36,445,2
1016,8,36,445,2,157
8,36,445,2,157,1017
36,445,2,157,1017,154
445,2,157,1017,154,1018
2,157,1017,154,1018,519
157,1017,154,1018,519,1
1017,154,1018,519,1,262
154,1018,519,1,262,17
1018,519,1,262,17,311
519,1,262,17,311,519
1,262,17,311,519,1019
262,17,311,519,1019,71
17,311,519,1019,71,49
311,519,1019,71,49,599
519,1019,71,49,599,31
1019,71,49,599,31,9
71,49,599,31,9,1508
49,599,31,9,1508,1509
599,31,9,1508,1509,90
31,9,1508,1509,90,49
9,1508,1509,90,49,15
1508,1509,90,49,15,1
1509,90,49,15,1,1510
90,49,15,1,1510,5
49,15,1,1510,5,160
15,1,1510,5,160,6
1,1510,5,160,6,1020
1510,5,160,6,1020,22
5,160,6,1020,22,182
160,6,1020,22,182,1021
6,1020,22,182,1021,23
1020,22,182,1021,23,1022
22,182,1021,23,1022,181
182,1021,23,1022,181,22
1021,23,1022,181,22,7
23,1022,181,22,7,116
1022,181,22,7,116,520
181,22,7,116,520,2
22,7,116,520,2,756
7,116,520,2,756,5
116,520,2,756,5,1511
520,2,756,5,1511,9
2,756,5,1511,9,1512
756,5,1511,9,1512,17
5,1511,9,1512,17,1
1511,9,1512,17,1,521
9,1512,17,1,521,1023
1512,17,1,521,1023,1024
17,1,521,1023,1024,4
1,521,1023,1024,4,1513
521,1023,1024,4,1513,71
1023,1024,4,1513,71,49
1024,4,1513,71,49,18
4,1513,71,49,18,3
1513,71,49,18,3,183
71,49,18,3,183,1
49,18,3,183,1,94
18,3,183,1,94,3
3,183,1,94,3,66
183,1,94,3,66,43
1,94,3,66,43,9
94,3,66,43,9,161
3,66,43,9,161,5
66,43,9,161,5,1514
43,9,161,5,1514,34
9,161,5,1514,34,8
161,5,1514,34,8,308
5,1514,34,8,308,1515
1514,34,8,308,1515,180
34,8,308,1515,180,11
8,308,1515,180,11,7
308,1515,180,11,7,15
1515,180,11,7,15,1
180,11,7,15,1,243
11,7,15,1,243,8
7,15,1,243,8,1
15,1,243,8,1,146
1,243,8,1,146,16
243,8,1,146,16,3
8,1,146,16,3,445
1,146,16,3,445,1
146,16,3,445,1,107
16,3,445,1,107,284
3,445,1,107,284,8
445,1,107,284,8,95
1,107,284,8,95,1025
107,284,8,95,1025,13
284,8,95,1025,13,2
8,95,1025,13,2,136
95,1025,13,2,136,1026
1025,13,2,136,1026,2
13,2,136,1026,2,757
2,136,1026,2,757,30
136,1026,2,757,30,2
1026,2,757,30,2,244
2,757,30,2,244,71
757,30,2,244,71,49
30,2,244,71,49,44
2,244,71,49,44,600
244,71,49,44,600,51
71,49,44,600,51,3
49,44,600,51,3,14
44,600,51,3,14,241
600,51,3,14,241,13
51,3,14,241,13,80
3,14,241,13,80,3
14,241,13,80,3,340
241,13,80,3,340,9
13,80,3,340,9,101
80,3,340,9,101,102
3,340,9,101,102,6
340,9,101,102,6,121
9,101,102,6,121,147
101,102,6,121,147,35
102,6,121,147,35,7
6,121,147,35,7,2
121,147,35,7,2,601
147,35,7,2,601,136
35,7,2,601,136,446
7,2,601,136,446,15
2,601,136,446,15,1
601,136,446,15,1,243
136,446,15,1,243,8
446,15,1,243,8,210
15,1,243,8,210,180
1,243,8,210,180,23
243,8,210,180,23,35
8,210,180,23,35,172
210,180,23,35,172,2
180,23,35,172,2,757
23,35,172,2,757,12
35,172,2,757,12,758
172,2,757,12,758,51
2,757,12,758,51,45
757,12,758,51,45,3
12,758,51,45,3,41
758,51,45,3,41,39
51,45,3,41,39,759
45,3,41,39,759,8
3,41,39,759,8,11
41,39,759,8,11,263
39,759,8,11,263,41
759,8,11,263,41,39
8,11,263,41,39,2
11,263,41,39,2,1516
263,41,39,2,1516,8
41,39,2,1516,8,1
39,2,1516,8,1,312
2,1516,8,1,312,71
1516,8,1,312,71,49
8,1,312,71,49,1027
1,312,71,49,1027,5
312,71,49,1027,5,264
71,49,1027,5,264,17
49,1027,5,264,17,1
1027,5,264,17,1,136
5,264,17,1,136,11
264,17,1,136,11,264
17,1,136,11,264,38
1,136,11,264,38,18
136,11,264,38,18,71
11,264,38,18,71,49
264,38,18,71,49,447
38,18,71,49,447,102
18,71,49,447,102,1
71,49,447,102,1,243
49,447,102,1,243,5
447,102,1,243,5,31
102,1,243,5,31,1
1,243,5,31,1,522
243,5,31,1,522,3
5,31,1,522,3,523
31,1,522,3,523,1
1,522,3,523,1,136
522,3,523,1,136,12
3,523,1,136,12,9
523,1,136,12,9,1517
1,136,12,9,1517,11
136,12,9,1517,11,7
12,9,1517,11,7,116
9,1517,11,7,116,1026
1517,11,7,116,1026,1
11,7,116,1026,1,284
7,116,1026,1,284,16
116,1026,1,284,16,19
1026,1,284,16,19,210
1,284,16,19,210,180
284,16,19,210,180,13
16,19,210,180,13,58
19,210,180,13,58,108
210,180,13,58,108,17
180,13,58,108,17,1
13,58,108,17,1,284
58,108,17,1,284,760
108,17,1,284,760,82
17,1,284,760,82,227
1,284,760,82,227,1518
284,760,82,227,1518,144
760,82,227,1518,144,1519
82,227,1518,144,1519,71
227,1518,144,1519,71,49
1518,144,1519,71,49,245
144,1519,71,49,245,137
1519,71,49,245,137,2
71,49,245,137,2,155
49,245,137,2,155,1028
245,137,2,155,1028,5
137,2,155,1028,5,184
2,155,1028,5,184,1
155,1028,5,184,1,136
1028,5,184,1,136,34
5,184,1,136,34,8
184,1,136,34,8,9
1,136,34,8,9,228
136,34,8,9,228,18
34,8,9,228,18,3
8,9,228,18,3,447
9,228,18,3,447,265
228,18,3,447,265,524
18,3,447,265,524,3
3,447,265,524,3,117
447,265,524,3,117,8
265,524,3,117,8,260
524,3,117,8,260,448
3,117,8,260,448,2
117,8,260,448,2,157
8,260,448,2,157,1029
260,448,2,157,1029,8
448,2,157,1029,8,441
2,157,1029,8,441,3
157,1029,8,441,3,7
1029,8,441,3,7,761
8,441,3,7,761,6
441,3,7,761,6,78
3,7,761,6,78,16
7,761,6,78,16,96
761,6,78,16,96,23
6,78,16,96,23,15
78,16,96,23,15,1
16,96,23,15,1,762
96,23,15,1,762,8
23,15,1,762,8,524
15,1,762,8,524,441
1,762,8,524,441,42
762,8,524,441,42,1030
8,524,441,42,1030,34
524,441,42,1030,34,8
441,42,1030,34,8,9
42,1030,34,8,9,228
1030,34,8,9,228,68
34,8,9,228,68,95
8,9,228,68,95,525
9,228,68,95,525,18
228,68,95,525,18,3
68,95,525,18,3,138
95,525,18,3,138,12
525,18,3,138,12,1
18,3,138,12,1,381
3,138,12,1,381,214
138,12,1,381,214,763
12,1,381,214,763,1520
1,381,214,763,1520,3
381,214,763,1520,3,82
214,763,1520,3,82,764
763,1520,3,82,764,1521
1520,3,82,764,1521,16
3,82,764,1521,16,35
82,764,1521,16,35,139
764,1521,16,35,139,6
1521,16,35,139,6,32
16,35,139,6,32,2
35,139,6,32,2,266
139,6,32,2,266,8
6,32,2,266,8,1522
32,2,266,8,1522,449
2,266,8,1522,449,81
266,8,1522,449,81,56
8,1522,449,81,56,81
1522,449,81,56,81,12
449,81,56,81,12,602
81,56,81,12,602,71
56,81,12,602,71,49
81,12,602,71,49,82
12,602,71,49,82,750
602,71,49,82,750,81
71,49,82,750,81,69
49,82,750,81,69,449
82,750,81,69,449,12
750,81,69,449,12,313
81,69,449,12,313,386
69,449,12,313,386,13
449,12,313,386,13,1
12,313,386,13,1,1523
313,386,13,1,1523,20
386,13,1,1523,20,229
13,1,1523,20,229,15
1,1523,20,229,15,603
1523,20,229,15,603,81
20,229,15,603,81,3
229,15,603,81,3,450
15,603,81,3,450,37
603,81,3,450,37,7
81,3,450,37,7,126
3,450,37,7,126,451
450,37,7,126,451,215
37,7,126,451,215,1524
7,126,451,215,1524,3
126,451,215,1524,3,1525
451,215,1524,3,1525,9
215,1524,3,1525,9,526
1524,3,1525,9,526,15
3,1525,9,526,15,1
1525,9,526,15,1,1526
9,526,15,1,1526,1527
526,15,1,1526,1527,5
15,1,1526,1527,5,9
1,1526,1527,5,9,86
1526,1527,5,9,86,199
1527,5,9,86,199,15
5,9,86,199,15,2
9,86,199,15,2,1528
86,199,15,2,1528,8
199,15,2,1528,8,314
15,2,1528,8,314,1529
2,1528,8,314,1529,446
1528,8,314,1529,446,315
8,314,1529,446,315,452
314,1529,446,315,452,68
1529,446,315,452,68,26
446,315,452,68,26,42
315,452,68,26,42,1031
452,68,26,42,1031,1032
68,26,42,1031,1032,453
26,42,1031,1032,453,71
42,1031,1032,453,71,49
1031,1032,453,71,49,7
1032,453,71,49,7,1530
453,71,49,7,1530,6
71,49,7,1530,6,97
49,7,1530,6,97,16
7,1530,6,97,16,2
1530,6,97,16,2,765
6,97,16,2,765,8
97,16,2,765,8,36
16,2,765,8,36,316
2,765,8,36,316,603
765,8,36,316,603,17
8,36,316,603,17,28
36,316,603,17,28,230
316,603,17,28,230,16
603,17,28,230,16,152
17,28,230,16,152,14
28,230,16,152,14,6
230,16,152,14,6,32
16,152,14,6,32,1033
152,14,6,32,1033,173
14,6,32,1033,173,3
6,32,1033,173,3,7
32,1033,173,3,7,5
1033,173,3,7,5,341
173,3,7,5,341,92
3,7,5,341,92,604
7,5,341,92,604,246
5,341,92,604,246,285
341,92,604,246,285,1
92,604,246,285,1,1531
604,246,285,1,1531,8
246,285,1,1531,8,21
285,1,1531,8,21,23
1,1531,8,21,23,80
1531,8,21,23,80,11
8,21,23,80,11,1532
21,23,80,11,1532,71
23,80,11,1532,71,49
80,11,1532,71,49,16
11,1532,71,49,16,37
1532,71,49,16,37,7
71,49,16,37,7,766
49,16,37,7,766,126
16,37,7,766,126,767
37,7,766,126,767,1533
7,766,126,767,1533,1534
766,126,767,1533,1534,81
126,767,1533,1534,81,42
767,1533,1534,81,42,605
1533,1534,81,42,605,1034
1534,81,42,605,1034,30
81,42,605,1034,30,1535
42,605,1034,30,1535,16
605,1034,30,1535,16,114
1034,30,1535,16,114,32
30,1535,16,114,32,11
1535,16,114,32,11,1
16,114,32,11,1,763
114,32,11,1,763,454
32,11,1,763,454,15
11,1,763,454,15,5
1,763,454,15,5,2
763,454,15,5,2,231
454,15,5,2,231,317
15,5,2,231,317,286
5,2,231,317,286,71
2,231,317,286,71,49
231,317,286,71,49,384
317,286,71,49,384,12
286,71,49,384,12,1
71,49,384,12,1,1001
49,384,12,1,1001,768
384,12,1,1001,768,266
12,1,1001,768,266,9
1,1001,768,266,9,228
1001,768,266,9,228,38
768,266,9,228,38,15
266,9,228,38,15,441
9,228,38,15,441,71
228,38,15,441,71,49
38,15,441,71,49,342
15,441,71,49,342,138
441,71,49,342,138,25
71,49,342,138,25,9
49,342,138,25,9,38
342,138,25,9,38,6
138,25,9,38,6,1
25,9,38,6,1,262
9,38,6,1,262,12
38,6,1,262,12,9
6,1,262,12,9,769
1,262,12,9,769,15
262,12,9,769,15,1
12,9,769,15,1,1536
9,769,15,1,1536,287
769,15,1,1536,287,55
15,1,1536,287,55,3
1,1536,287,55,3,212
1536,287,55,3,212,3
287,55,3,212,3,185
55,3,212,3,185,41
3,212,3,185,41,197
212,3,185,41,197,11
3,185,41,197,11,770
185,41,197,11,770,6
41,197,11,770,6,1035
197,11,770,6,1035,15
11,770,6,1035,15,441
770,6,1035,15,441,16
6,1035,15,441,16,214
1035,15,441,16,214,3
15,441,16,214,3,44
441,16,214,3,44,97
16,214,3,44,97,1
214,3,44,97,1,267
3,44,97,1,267,1537
44,97,1,267,1537,519
97,1,267,1537,519,12
1,267,1537,519,12,1036
267,1537,519,12,1036,527
1537,519,12,1036,527,98
519,12,1036,527,98,81
12,1036,527,98,81,63
1036,527,98,81,63,12
527,98,81,63,12,1
98,81,63,12,1,146
81,63,12,1,146,145
63,12,1,146,145,26
12,1,146,145,26,606
1,146,145,26,606,5
146,145,26,606,5,1538
145,26,606,5,1538,268
26,606,5,1538,268,1539
606,5,1538,268,1539,18
5,1538,268,1539,18,154
1538,268,1539,18,154,216
268,1539,18,154,216,154
1539,18,154,216,154,771
18,154,216,154,771,1037
154,216,154,771,1037,339
216,154,771,1037,339,8
154,771,1037,339,8,36
771,1037,339,8,36,14
1037,339,8,36,14,77
339,8,36,14,77,241
8,36,14,77,241,92
36,14,77,241,92,154
14,77,241,92,154,91
77,241,92,154,91,17
241,92,154,91,17,1540
92,154,91,17,1540,71
154,91,17,1540,71,49
91,17,1540,71,49,772
17,1540,71,49,772,14
1540,71,49,772,14,2
71,49,772,14,2,742
49,772,14,2,742,439
772,14,2,742,439,154
14,2,742,439,154,1541
2,742,439,154,1541,214
742,439,154,1541,214,3
439,154,1541,214,3,455
154,1541,214,3,455,17
1541,214,3,455,17,288
214,3,455,17,288,773
3,455,17,288,773,81
455,17,288,773,81,3
17,288,773,81,3,99
288,773,81,3,99,518
773,81,3,99,518,774
81,3,99,518,774,456
3,99,518,774,456,1038
99,518,774,456,1038,5
518,774,456,1038,5,343
774,456,1038,5,343,2
456,1038,5,343,2,200
1038,5,343,2,200,162
5,343,2,200,162,3
343,2,200,162,3,7
2,200,162,3,7,12
200,162,3,7,12,2
162,3,7,12,2,67
3,7,12,2,67,182
7,12,2,67,182,607
12,2,67,182,607,269
2,67,182,607,269,1039
67,182,607,269,1039,65
182,607,269,1039,65,3
607,269,1039,65,3,117
269,1039,65,3,117,61
1039,65,3,117,61,1542
65,3,117,61,1542,9
3,117,61,1542,9,1543
117,61,1542,9,1543,5
61,1542,9,1543,5,775
1542,9,1543,5,775,608
9,1543,5,775,608,1
1543,5,775,608,1,522
5,775,608,1,522,6
775,608,1,522,6,344
608,1,522,6,344,137
1,522,6,344,137,2
522,6,344,137,2,1040
6,344,137,2,1040,53
344,137,2,1040,53,1
137,2,1040,53,1,1544
2,1040,53,1,1544,61
1040,53,1,1544,61,30
53,1,1544,61,30,528
1,1544,61,30,528,28
1544,61,30,528,28,56
61,30,528,28,56,1
30,528,28,56,1,81
528,28,56,1,81,12
28,56,1,81,12,602
56,1,81,12,602,269
1,81,12,602,269,3
81,12,602,269,3,318
12,602,269,3,318,2
602,269,3,318,2,1545
269,3,318,2,1545,8
3,318,2,1545,8,36
318,2,1545,8,36,122
2,1545,8,36,122,6
1545,8,36,122,6,1
8,36,122,6,1,1546
36,122,6,1,1546,3
122,6,1,1546,3,776
6,1,1546,3,776,36
1,1546,3,776,36,609
1546,3,776,36,609,18
3,776,36,609,18,3
776,36,609,18,3,318
36,609,18,3,318,3
609,18,3,318,3,44
18,3,318,3,44,62
3,318,3,44,62,230
318,3,44,62,230,23
3,44,62,230,23,26
44,62,230,23,26,99
62,230,23,26,99,21
230,23,26,99,21,1041
23,26,99,21,1041,37
26,99,21,1041,37,1547
99,21,1041,37,1547,42
21,1041,37,1547,42,1031
1041,37,1547,42,1031,1032
37,1547,42,1031,1032,159
1547,42,1031,1032,159,5
42,1031,1032,159,5,3
1031,1032,159,5,3,82
1032,159,5,3,82,97
159,5,3,82,97,2
5,3,82,97,2,1042
3,82,97,2,1042,1034
82,97,2,1042,1034,1548
97,2,1042,1034,1548,11
2,1042,1034,1548,11,7
1042,1034,1548,11,7,15
1034,1548,11,7,15,9
1548,11,7,15,9,118
11,7,15,9,118,38
7,15,9,118,38,519
15,9,118,38,519,36
9,118,38,519,36,1549
118,38,519,36,1549,2
38,519,36,1549,2,157
519,36,1549,2,157,1550
36,1549,2,157,1550,12
1549,2,157,1550,12,2
2,157,1550,12,2,529
157,1550,12,2,529,16
1550,12,2,529,16,3
12,2,529,16,3,610
2,529,16,3,610,2
529,16,3,610,2,231
16,3,610,2,231,611
3,610,2,231,611,8
610,2,231,611,8,51
2,231,611,8,51,26
231,611,8,51,26,42
611,8,51,26,42,186
8,51,26,42,186,345
51,26,42,186,345,281
26,42,186,345,281,319
42,186,345,281,319,127
186,345,281,319,127,319
345,281,319,127,319,51
281,319,127,319,51,33
319,127,319,51,33,247
127,319,51,33,247,187
319,51,33,247,187,1551
51,33,247,187,1551,13
33,247,187,1551,13,457
247,187,1551,13,457,74
187,1551,13,457,74,309
1551,13,457,74,309,10
13,457,74,309,10,187
457,74,309,10,187,71
74,309,10,187,71,49
309,10,187,71,49,387
10,187,71,49,387,777
187,71,49,387,777,749
71,49,387,777,749,1552
49,387,777,749,1552,21
387,777,749,1552,21,3
777,749,1552,21,3,59
749,1552,21,3,59,38
1552,21,3,59,38,17
21,3,59,38,17,1
3,59,38,17,1,1553
59,38,17,1,1553,18
38,17,1,1553,18,55
17,1,1553,18,55,3
1,1553,18,55,3,211
1553,18,55,3,211,6
18,55,3,211,6,112
55,3,211,6,112,95
3,211,6,112,95,6
211,6,112,95,6,36
6,112,95,6,36,23
112,95,6,36,23,117
95,6,36,23,117,458
6,36,23,117,458,8
36,23,117,458,8,11
23,117,458,8,11,3
117,458,8,11,3,1554
458,8,11,3,1554,38
8,11,3,1554,38,608
11,3,1554,38,608,1
3,1554,38,608,1,522
1554,38,608,1,522,778
38,608,1,522,778,31
608,1,522,778,31,6
1,522,778,31,6,9
522,778,31,6,9,769
778,31,6,9,769,346
31,6,9,769,346,17
6,9,769,346,17,9
9,769,346,17,9,1555
769,346,17,9,1555,54
346,17,9,1555,54,6
17,9,1555,54,6,1043
9,1555,54,6,1043,21
1555,54,6,1043,21,612
54,6,1043,21,612,9
6,1043,21,612,9,456
1043,21,612,9,456,5
21,612,9,456,5,14
612,9,456,5,14,248
9,456,5,14,248,613
456,5,14,248,613,1556
5,14,248,613,1556,9
14,248,613,1556,9,388
248,613,1556,9,388,308
613,1556,9,388,308,65
1556,9,388,308,65,3
9,388,308,65,3,614
388,308,65,3,614,9
308,65,3,614,9,228
65,3,614,9,228,3
3,614,9,228,3,184
614,9,228,3,184,1
9,228,3,184,1,1557
228,3,184,1,1557,38
3,184,1,1557,38,63
184,1,1557,38,63,5
1,1557,38,63,5,1044
1557,38,63,5,1044,9
38,63,5,1044,9,515
63,5,1044,9,515,1558
5,1044,9,515,1558,3
1044,9,515,1558,3,7
9,515,1558,3,7,201
515,1558,3,7,201,451
1558,3,7,201,451,85
3,7,201,451,85,172
7,201,451,85,172,440
201,451,85,172,440,92
451,85,172,440,92,1559
85,172,440,92,1559,163
172,440,92,1559,163,3
440,92,1559,163,3,7
92,1559,163,3,7,320
1559,163,3,7,320,35
163,3,7,320,35,42
3,7,320,35,42,530
7,320,35,42,530,8
320,35,42,530,8,81
35,42,530,8,81,279
42,530,8,81,279,85
530,8,81,279,85,69
8,81,279,85,69,14
81,279,85,69,14,2
279,85,69,14,2,309
85,69,14,2,309,279
69,14,2,309,279,10
14,2,309,279,10,188
2,309,279,10,188,6
309,279,10,188,6,153
279,10,188,6,153,8
10,188,6,153,8,11
188,6,153,8,11,3
6,153,8,11,3,172
153,8,11,3,172,91
8,11,3,172,91,320
11,3,172,91,320,9
3,172,91,320,9,1045
172,91,320,9,1045,7
91,320,9,1045,7,279
320,9,1045,7,279,10
9,1045,7,279,10,61
1045,7,279,10,61,77
7,279,10,61,77,91
279,10,61,77,91,241
10,61,77,91,241,1
61,77,91,241,1,135
77,91,241,1,135,11
91,241,1,135,11,185
241,1,135,11,185,41
1,135,11,185,41,39
135,11,185,41,39,1560
11,185,41,39,1560,144
185,41,39,1560,144,1561
41,39,1560,144,1561,35
39,1560,144,1561,35,7
1560,144,1561,35,7,58
144,1561,35,7,58,459
1561,35,7,58,459,12
35,7,58,459,12,1562
7,58,459,12,1562,90
58,459,12,1562,90,49
